Date,Total Value
2025-09-10,14392.0
2025-09-11,14475.0
2025-09-12,13571.0
2025-09-13,9350.0
2025-09-14,10645.0
2025-09-15,11989.0
2025-09-16,10907.0
2025-09-17,9290.0
2025-09-18,16821.0
2025-09-19,8898.0
2025-09-20,6459.0
2025-09-21,6455.0
2025-09-22,10773.0
2025-09-23,7858.0
2025-09-24,11822.0
2025-09-25,7640.0
2025-09-26,14884.0
2025-09-27,17879.0
2025-09-28,9474.0
2025-09-29,11566.0
2025-09-30,8624.0
2025-10-01,8381.0
2025-10-02,9183.0
2025-10-03,14014.0
2025-10-04,11096.0
2025-10-05,10451.0
2025-10-06,14686.0
2025-10-07,12727.0
2025-10-08,13111.0
2025-10-09,11446.0
2025-10-10,8760.0
2025-10-11,9134.0
2025-10-12,9977.0
2025-10-13,7902.0
2025-10-14,16520.0
2025-10-15,11600.0
2025-10-16,5723.0
2025-10-17,12544.0
2025-10-18,13379.0
2025-10-19,6991.0
2025-10-20,9286.0
2025-10-21,10395.0
2025-10-22,13166.0
2025-10-23,5696.0
2025-10-24,11998.0
2025-10-25,12799.0
2025-10-26,8084.0
2025-10-27,9440.0
2025-10-28,8257.0
2025-10-29,2903.0
